	Peak Strength	-50_plus	-49_plus	-48_plus	-47_plus	-46_plus	-45_plus	-44_plus	-43_plus	-42_plus	-41_plus	-40_plus	-39_plus	-38_plus	-37_plus	-36_plus	-35_plus	-34_plus	-33_plus	-32_plus	-31_plus	-30_plus	-29_plus	-28_plus	-27_plus	-26_plus	-25_plus	-24_plus	-23_plus	-22_plus	-21_plus	-20_plus	-19_plus	-18_plus	-17_plus	-16_plus	-15_plus	-14_plus	-13_plus	-12_plus	-11_plus	-10_plus	-9_plus	-8_plus	-7_plus	-6_plus	-5_plus	-4_plus	-3_plus	-2_plus	-1_plus	0_plus	1_plus	2_plus	3_plus	4_plus	5_plus	6_plus	7_plus	8_plus	9_plus	10_plus	11_plus	12_plus	13_plus	14_plus	15_plus	16_plus	17_plus	18_plus	19_plus	20_plus	21_plus	22_plus	23_plus	24_plus	25_plus	26_plus	27_plus	28_plus	29_plus	30_plus	31_plus	32_plus	33_plus	34_plus	35_plus	36_plus	37_plus	38_plus	39_plus	40_plus	41_plus	42_plus	43_plus	44_plus	45_plus	46_plus	47_plus	48_plus	49_plus	50_plus	-50_minus	-49_minus	-48_minus	-47_minus	-46_minus	-45_minus	-44_minus	-43_minus	-42_minus	-41_minus	-40_minus	-39_minus	-38_minus	-37_minus	-36_minus	-35_minus	-34_minus	-33_minus	-32_minus	-31_minus	-30_minus	-29_minus	-28_minus	-27_minus	-26_minus	-25_minus	-24_minus	-23_minus	-22_minus	-21_minus	-20_minus	-19_minus	-18_minus	-17_minus	-16_minus	-15_minus	-14_minus	-13_minus	-12_minus	-11_minus	-10_minus	-9_minus	-8_minus	-7_minus	-6_minus	-5_minus	-4_minus	-3_minus	-2_minus	-1_minus	0_minus	1_minus	2_minus	3_minus	4_minus	5_minus	6_minus	7_minus	8_minus	9_minus	10_minus	11_minus	12_minus	13_minus	14_minus	15_minus	16_minus	17_minus	18_minus	19_minus	20_minus	21_minus	22_minus	23_minus	24_minus	25_minus	26_minus	27_minus	28_minus	29_minus	30_minus	31_minus	32_minus	33_minus	34_minus	35_minus	36_minus	37_minus	38_minus	39_minus	40_minus	41_minus	42_minus	43_minus	44_minus	45_minus	46_minus	47_minus	48_minus	49_minus	50_minus
84	46.47096774193548	23.848137	12.658272	0.0	0.0	66.683682	12.658272	6.329136	0.0	6.329136	12.658272	6.329136	23.848137	96.860955	114.379956	49.164681	79.341954	25.316544	36.506409	150.886366	139.6965	152.354772	55.493818	108.05082	55.493818	273.063864	238.025862	42.835545	18.987408	239.49427	44.303952	0.0	6.329136	312.507088	61.822954	131.44345	49.164681	149.417958	569.520359	598.229224	212.709318	152.354772	128.506635	176.20291	79.341954	92.000226	0.0	12.658272	150.886366	0.0	6.329136	90.531819	92.000226	6.329136	54.02541	30.177273	54.02541	0.0	0.0	6.329136	30.177273	6.329136	152.354772	574.381088	322.228546	79.341954	49.164681	273.063864	244.354998	136.304179	12.658272	60.354546	98.329362	30.177273	0.0	60.354546	36.506409	6.329136	18.987408	30.177273	0.0	80.810362	0.0	18.987408	6.329136	37.974816	30.177273	54.02541	127.038228	125.569821	66.683682	0.0	6.329136	36.506409	12.658272	23.848137	18.987408	37.974816	12.658272	18.987408	12.658272	0.0	54.687971	36.846205	0.0	0.0	0.0	0.0	0.0	6.334813	6.334813	0.0	0.0	6.334813	0.0	24.176579	0.0	0.0	6.334813	0.0	0.0	12.669626	24.176579	0.0	0.0	36.846205	0.0	0.0	12.669626	6.334813	6.334813	36.846205	36.846205	19.004439	12.669626	0.0	0.0	0.0	24.176579	6.334813	0.0	0.0	6.334813	0.0	0.0	164.063914	49.515831	195.737979	141.050008	141.050008	521.019012	1191.74819	109.375943	6.334813	165.226586	54.687971	30.511392	19.004439	30.511392	0.0	12.669626	49.515831	6.334813	141.050008	43.181018	12.669626	54.687971	30.511392	36.846205	12.669626	103.04113	61.022784	0.0	30.511392	6.334813	19.004439	6.334813	72.529738	12.669626	0.0	0.0	6.334813	24.176579	30.511392	6.334813	30.511392	25.339252	78.86455	30.511392	25.339252	80.027223	139.887335	603.37158	149.710166	6.334813	49.515831	54.687971	6.334813	30.511392	24.176579	48.353158	139.887335	24.176579
85	32.52903225806452	42.835545	50.633088	122.1775	6.329136	30.177273	23.848137	66.683682	6.329136	60.354546	6.329136	6.329136	54.02541	18.987408	0.0	30.177273	25.316544	25.316544	60.354546	73.012818	60.354546	42.835545	55.493818	54.02541	6.329136	60.354546	0.0	0.0	0.0	42.835545	6.329136	0.0	12.658272	42.835545	36.506409	85.67109	223.443676	325.16536	165.013044	426.887044	85.67109	74.481226	139.6965	30.177273	0.0	23.848137	6.329136	30.177273	12.658272	30.177273	6.329136	0.0	0.0	30.177273	0.0	6.329136	6.329136	31.64568	42.835545	12.658272	60.354546	6.329136	6.329136	0.0	12.658272	6.329136	18.987408	12.658272	0.0	0.0	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	18.987408	6.329136	0.0	0.0	6.329136	6.329136	12.658272	6.329136	23.848137	0.0	6.329136	0.0	0.0	0.0	6.329136	0.0	23.848137	0.0	0.0	0.0	6.329136	0.0	86.362036	104.203802	12.669626	31.674064	61.022784	73.69241	19.004439	146.222148	36.846205	43.181018	12.669626	0.0	6.334813	19.004439	43.181018	24.176579	6.334813	128.380382	24.176579	12.669626	30.511392	6.334813	30.511392	36.846205	12.669626	0.0	30.511392	19.004439	30.511392	49.515831	6.334813	25.339252	12.669626	36.846205	36.846205	30.511392	30.511392	54.687971	54.687971	0.0	61.022784	36.846205	36.846205	234.909529	123.208241	161.217118	202.072792	348.29494	498.005106	199.225996	219.914558	25.339252	0.0	43.181018	110.538615	68.52027	30.511392	36.846205	80.027223	137.04054	189.403166	36.846205	99.031662	116.873428	92.696849	312.611407	31.674064	166.389259	256.760764	12.669626	55.850644	86.362036	141.050008	86.362036	49.515831	72.529738	80.027223	24.176579	6.334813	36.846205	68.52027	0.0	154.882306	73.69241	55.850644	76.017756	57.013316	36.846205	105.366475	12.669626	86.362036	31.674064	118.036101	19.004439	12.669626	0.0	30.511392	55.850644	19.004439	0.0	36.846205
532	34.5531914893617	23.848137	0.0	6.329136	36.506409	18.987408	6.329136	6.329136	0.0	12.658272	0.0	60.354546	0.0	12.658272	18.987408	0.0	23.848137	6.329136	0.0	0.0	6.329136	0.0	6.329136	0.0	6.329136	0.0	12.658272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.658272	0.0	49.164681	6.329136	49.164681	1048.508898	981.825216	363.140176	257.01327	332.962903	68.15209	42.835545	12.658272	6.329136	0.0	30.177273	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	18.987408	23.848137	6.329136	6.329136	6.329136	18.987408	6.329136	6.329136	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.02541	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	30.511392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	6.334813	0.0	0.0	24.176579	0.0	6.334813	31.674064	36.846205	49.515831	99.031662	38.008878	62.185456	185.393698	74.855082	31.674064	19.004439	19.004439	100.194335	6.334813	19.004439	19.004439	173.886744	25.339252	0.0	69.682942	93.859522	0.0	55.850644	36.846205	6.334813	12.669626	43.181018	85.199363	43.181018	25.339252	30.511392	19.004439	12.669626	6.334813	0.0	30.511392	19.004439	12.669626	0.0	24.176579	0.0	36.846205	0.0	12.669626	6.334813	43.181018	6.334813	0.0	0.0	0.0	6.334813	6.334813	0.0	67.357598	0.0	43.181018	0.0	0.0
841	42.46621621621622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.848137	18.987408	0.0	6.329136	6.329136	0.0	0.0	12.658272	0.0	6.329136	68.15209	0.0	0.0	36.506409	0.0	25.316544	61.822954	18.987408	31.64568	12.658272	23.848137	12.658272	6.329136	12.658272	0.0	49.164681	6.329136	54.02541	6.329136	152.354772	1114.17968	356.81104	104.658498	127.038228	73.012818	74.481226	42.835545	12.658272	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	23.848137	49.164681	30.177273	12.658272	36.506409	6.329136	0.0	6.329136	0.0	6.329136	42.835545	12.658272	0.0	6.329136	0.0	6.329136	23.848137	0.0	6.329136	0.0	0.0	6.329136	0.0	12.658272	12.658272	0.0	0.0	6.329136	6.329136	0.0	0.0	0.0	6.329136	6.329136	6.329136	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	30.511392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	6.334813	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	6.334813	0.0	6.334813	0.0	6.334813	0.0	0.0	6.334813	0.0	24.176579	0.0	0.0	0.0	0.0	0.0	19.004439	0.0	0.0	0.0	167.551932	36.846205	12.669626	172.724072	92.696849	25.339252	30.511392	6.334813	36.846205	105.366475	6.334813	12.669626	0.0	215.90509	62.185456	0.0	12.669626	43.181018	148.547493	143.375352	36.846205	36.846205	55.850644	25.339252	19.004439	38.008878	54.687971	12.669626	54.687971	61.022784	6.334813	0.0	0.0	12.669626	6.334813	6.334813	50.678504	0.0	30.511392	81.189896	0.0	12.669626	6.334813	30.511392	19.004439	19.004439	12.669626	36.846205	55.850644	6.334813	0.0	0.0	12.669626	0.0	6.334813
993	38.69166666666667	0.0	6.329136	0.0	0.0	12.658272	0.0	23.848137	12.658272	0.0	0.0	30.177273	6.329136	12.658272	0.0	6.329136	6.329136	47.696274	6.329136	12.658272	0.0	12.658272	6.329136	0.0	6.329136	12.658272	0.0	36.506409	23.848137	6.329136	54.02541	23.848137	0.0	6.329136	0.0	6.329136	0.0	60.354546	42.835545	36.506409	30.177273	18.987408	12.658272	54.02541	92.000226	18.987408	0.0	12.658272	152.354772	128.506635	55.493818	131.898957	101.721684	23.848137	66.683682	0.0	30.177273	0.0	23.848137	0.0	0.0	0.0	0.0	12.658272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.658272	0.0	0.0	42.835545	0.0	0.0	6.329136	0.0	0.0	0.0	12.658272	0.0	6.329136	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	6.329136	0.0	23.848137	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	24.176579	0.0	6.334813	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	36.846205	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	24.176579	0.0	6.334813	0.0	0.0	24.176579	0.0	0.0	0.0	6.334813	0.0	6.334813	0.0	0.0	0.0	6.334813	0.0	6.334813	103.04113	172.724072	38.008878	61.022784	36.846205	176.73354	408.155052	12.669626	30.511392	30.511392	0.0	0.0	19.004439	6.334813	30.511392	6.334813	0.0	0.0	6.334813	0.0	12.669626	0.0	0.0	24.176579	0.0	0.0	61.022784	78.86455	24.176579	30.511392	24.176579	6.334813	0.0	12.669626	6.334813	0.0	36.846205	0.0	0.0	0.0	0.0	6.334813	0.0	30.511392
20	35.68452380952381	98.329362	42.835545	60.354546	6.329136	36.506409	12.658272	6.329136	0.0	6.329136	6.329136	6.329136	0.0	0.0	0.0	12.658272	0.0	66.683682	30.177273	84.202683	30.177273	73.012818	128.506635	0.0	23.848137	12.658272	0.0	0.0	0.0	31.64568	12.658272	6.329136	0.0	0.0	6.329136	6.329136	25.316544	0.0	6.329136	0.0	18.987408	0.0	0.0	23.848137	12.658272	18.987408	18.987408	12.658272	23.848137	228.759912	266.734728	122.1775	42.835545	60.354546	23.848137	30.177273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	23.848137	0.0	0.0	6.329136	0.0	30.177273	0.0	0.0	0.0	0.0	0.0	12.658272	0.0	6.329136	0.0	0.0	6.329136	6.329136	12.658272	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	6.334813	0.0	24.176579	19.004439	0.0	12.669626	0.0	0.0	24.176579	0.0	6.334813	0.0	12.669626	0.0	6.334813	0.0	0.0	6.334813	6.334813	38.008878	12.669626	0.0	30.511392	6.334813	48.353158	6.334813	12.669626	0.0	0.0	12.669626	19.004439	0.0	30.511392	0.0	6.334813	36.846205	24.176579	31.674064	6.334813	19.004439	0.0	6.334813	6.334813	6.334813	0.0	12.669626	24.176579	6.334813	19.004439	0.0	12.669626	12.669626	128.380382	43.181018	49.515831	31.674064	81.189896	6.334813	12.669626	19.004439	48.353158	43.181018	24.176579	24.176579	0.0	19.004439	6.334813	0.0	12.669626	19.004439	12.669626	0.0	12.669626	0.0	12.669626	0.0	0.0	24.176579	0.0	43.181018	31.674064	0.0	6.334813	0.0	12.669626	6.334813	19.004439	0.0	0.0	6.334813	55.850644	0.0	12.669626	6.334813	0.0	6.334813
359	33.76623376623377	12.658272	6.329136	12.658272	0.0	6.329136	12.658272	0.0	0.0	6.329136	23.848137	6.329136	6.329136	0.0	0.0	6.329136	23.848137	30.177273	30.177273	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.848137	31.64568	31.64568	12.658272	36.506409	98.329362	329.570582	421.570808	215.190626	274.532272	99.79777	49.164681	36.506409	36.506409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	6.329136	23.848137	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	6.334813	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	6.334813	6.334813	0.0	0.0	0.0	6.334813	0.0	6.334813	6.334813	0.0	0.0	0.0	0.0	0.0	12.669626	0.0	87.524708	6.334813	19.004439	118.036101	81.189896	119.198773	6.334813	19.004439	43.181018	12.669626	135.877867	12.669626	6.334813	36.846205	88.687381	36.846205	78.86455	24.176579	6.334813	19.004439	19.004439	19.004439	19.004439	6.334813	6.334813	12.669626	6.334813	6.334813	12.669626	0.0	24.176579	0.0	0.0	0.0	0.0	6.334813	0.0	6.334813	0.0	0.0	12.669626	0.0	0.0	0.0	6.334813	43.181018	24.176579	12.669626	0.0	0.0	0.0	6.334813	24.176579	0.0	0.0	12.669626
650	34.255319148936174	6.329136	0.0	0.0	49.164681	6.329136	0.0	12.658272	6.329136	0.0	6.329136	12.658272	0.0	0.0	30.177273	0.0	55.493818	0.0	49.164681	18.987408	6.329136	6.329136	0.0	55.493818	23.848137	23.848137	30.177273	36.506409	49.164681	54.02541	23.848137	23.848137	36.506409	12.658272	6.329136	0.0	66.683682	12.658272	18.987408	0.0	47.696274	6.329136	12.658272	6.329136	6.329136	66.683682	6.329136	12.658272	30.177273	23.848137	6.329136	153.823179	252.152542	115.848364	168.405366	80.810362	0.0	6.329136	0.0	6.329136	0.0	23.848137	6.329136	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	6.329136	0.0	0.0	6.329136	0.0	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	23.848137	0.0	12.658272	0.0	6.329136	0.0	0.0	0.0	0.0	24.176579	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.176579	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.669626	12.669626	0.0	6.334813	0.0	12.669626	6.334813	6.334813	30.511392	6.334813	6.334813	6.334813	0.0	12.669626	12.669626	25.339252	87.524708	67.357598	181.90568	118.036101	73.69241	67.357598	24.176579	12.669626	0.0	0.0	6.334813	62.185456	0.0	0.0	55.850644	30.511392	0.0	6.334813	0.0	24.176579	12.669626	80.027223	25.339252	54.687971	61.022784	43.181018	19.004439	0.0	0.0	19.004439	0.0	0.0	0.0	24.176579	0.0	0.0	0.0	0.0	0.0	0.0	0.0
590	31.605042016806724	0.0	12.658272	23.848137	12.658272	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	6.329136	0.0	0.0	23.848137	30.177273	30.177273	73.012818	109.519228	128.506635	0.0	73.012818	0.0	0.0	6.329136	12.658272	25.316544	12.658272	18.987408	36.506409	79.341954	73.012818	50.633088	96.860955	6.329136	92.000226	84.202683	66.683682	128.506635	12.658272	12.658272	12.658272	85.67109	108.05082	12.658272	30.177273	79.341954	31.64568	0.0	0.0	6.329136	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	6.329136	23.848137	0.0	0.0	0.0	0.0	0.0	6.329136	6.329136	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	6.334813	0.0	0.0	6.334813	12.669626	0.0	6.334813	36.846205	19.004439	0.0	0.0	6.334813	12.669626	0.0	6.334813	0.0	24.176579	19.004439	36.846205	0.0	24.176579	0.0	0.0	36.846205	0.0	0.0	0.0	36.846205	110.538615	122.045569	24.176579	91.534176	61.022784	12.669626	332.778519	25.339252	12.669626	19.004439	12.669626	0.0	6.334813	0.0	30.511392	6.334813	12.669626	6.334813	12.669626	12.669626	0.0	25.339252	0.0	0.0	0.0	0.0	19.004439	0.0	12.669626	6.334813	0.0	0.0	6.334813	6.334813	12.669626	0.0	36.846205	0.0	0.0	19.004439	43.181018	0.0	6.334813	0.0
239	30.25	30.177273	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.177273	0.0	0.0	0.0	0.0	49.164681	12.658272	0.0	6.329136	12.658272	18.987408	0.0	23.848137	0.0	0.0	0.0	6.329136	6.329136	6.329136	12.658272	103.190092	522.279592	12.658272	71.544411	6.329136	106.126905	307.646359	31.64568	18.987408	12.658272	0.0	6.329136	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	6.329136	0.0	23.848137	0.0	0.0	0.0	0.0	0.0	0.0	6.329136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.848137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	24.176579	0.0	0.0	0.0	0.0	0.0	0.0	24.176579	0.0	0.0	6.334813	0.0	6.334813	0.0	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.334813	0.0	80.027223	36.846205	12.669626	25.339252	307.439267	158.891774	91.534176	191.728511	12.669626	36.846205	203.235464	49.515831	24.176579	12.669626	6.334813	30.511392	55.850644	0.0	25.339252	0.0	0.0	43.181018	30.511392	6.334813	24.176579	6.334813	0.0	36.846205	6.334813	24.176579	0.0	0.0	19.004439	30.511392	0.0	30.511392	0.0	0.0	0.0	6.334813	0.0	0.0	0.0	0.0	0.0	0.0	0.0
