Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:129354	   56.0	0	   17.0	NaN	NaN	   20.1	   0.06	NaN	   0.11	  -0.89	   0.00	0	   12.0	NaN	NaN	   11.5	   0.26	NaN	   0.32	  -0.74	   0.00	0	   17.0	NaN	NaN	   11.9	   0.92	NaN	   1.02	  -0.93	   0.00	0	   10.0	NaN	NaN	    9.3	   0.25	NaN	   0.35	  -0.75	   0.00	--------	-1	0.00	*
10:83959	   49.0	0	   16.0	NaN	NaN	   16.1	   0.18	NaN	   0.26	  -0.82	   0.00	0	    7.0	NaN	NaN	    8.3	   0.11	NaN	   0.14	  -0.80	   0.00	0	   15.0	NaN	NaN	   10.3	   0.90	NaN	   0.99	  -0.82	   0.00	0	   11.0	NaN	NaN	    7.8	   0.58	NaN	   0.79	  -0.56	   0.00	--------	-1	0.00	*
12:449368	   50.0	0	   17.0	NaN	NaN	   15.8	   0.26	NaN	   0.38	  -1.06	   0.00	0	   12.0	NaN	NaN	    8.0	   0.86	NaN	   0.94	  -1.05	   0.00	0	   13.0	NaN	NaN	   10.1	   0.60	NaN	   0.67	  -0.63	   0.00	0	    8.0	NaN	NaN	    7.8	   0.20	NaN	   0.28	  -0.98	   0.00	--------	-1	0.00	*
15:573188	   52.0	0	   16.0	NaN	NaN	   15.9	   0.18	NaN	   0.28	  -0.94	   0.00	0	    4.0	NaN	NaN	    8.4	   0.00	NaN	   0.01	  -1.12	   0.00	0	   17.0	NaN	NaN	   10.5	   1.27	NaN	   1.40	  -0.77	   0.00	0	   15.0	NaN	NaN	    7.8	   1.53	NaN	   1.85	  -0.67	   0.00	--------	-1	0.00	*
15:666114	   61.0	0	   24.0	NaN	NaN	   15.9	   1.20	NaN	   1.47	  -0.69	   0.00	0	   14.0	NaN	NaN	   10.4	   0.71	NaN	   0.77	  -0.71	   0.00	0	   13.0	NaN	NaN	   13.5	   0.19	NaN	   0.23	  -0.78	   0.00	0	   10.0	NaN	NaN	    9.0	   0.27	NaN	   0.38	  -0.79	   0.00	--------	-1	0.00	*
4:14196	   55.0	0	   18.0	NaN	NaN	   19.4	   0.13	NaN	   0.18	  -0.90	   0.00	0	    9.0	NaN	NaN	   10.2	   0.12	NaN	   0.16	  -0.80	   0.00	0	   12.0	NaN	NaN	   11.4	   0.28	NaN	   0.32	  -1.10	   0.00	0	   16.0	NaN	NaN	    9.8	   1.08	NaN	   1.38	  -0.93	   0.00	--------	-1	0.00	*
5:434785	   68.0	0	   28.0	NaN	NaN	   20.5	   0.97	NaN	   1.17	  -0.74	   0.00	0	   13.0	NaN	NaN	    9.4	   0.73	NaN	   0.80	  -1.05	   0.00	0	   14.0	NaN	NaN	   14.3	   0.21	NaN	   0.25	  -0.94	   0.00	0	   13.0	NaN	NaN	   10.0	   0.50	NaN	   0.69	  -1.16	   0.00	--------	-1	0.00	*
5:435322	   52.0	0	   15.0	NaN	NaN	   19.6	   0.02	NaN	   0.06	  -0.71	   0.00	0	   10.0	NaN	NaN	    9.5	   0.27	NaN	   0.32	  -0.74	   0.00	0	   15.0	NaN	NaN	   13.6	   0.35	NaN	   0.41	  -0.68	   0.00	0	   12.0	NaN	NaN	    9.8	   0.40	NaN	   0.55	  -0.68	   0.00	--------	-1	0.00	*
5:485551	   52.5	0	   12.4	NaN	NaN	   16.3	   0.05	NaN	   0.08	  -0.94	   0.00	0	   15.1	NaN	NaN	    8.4	   1.79	NaN	   1.90	  -0.97	   0.00	0	   13.7	NaN	NaN	   10.7	   0.64	NaN	   0.71	  -1.15	   0.00	0	   11.3	NaN	NaN	    8.2	   0.67	NaN	   0.91	  -0.86	   0.00	--------	-1	0.00	*
5:545265	   66.0	0	   23.0	NaN	NaN	   16.3	   0.97	NaN	   1.17	  -0.78	   0.00	0	   12.0	NaN	NaN	    8.4	   0.77	NaN	   0.84	  -0.79	   0.00	0	   15.0	NaN	NaN	   10.6	   0.85	NaN	   0.94	  -0.90	   0.00	0	   16.0	NaN	NaN	    8.9	   1.39	NaN	   1.70	  -1.40	   0.00	--------	-1	0.00	*
