Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
10:409047	   59.0	0	   32.0	NaN	NaN	   31.4	   0.31	NaN	   0.32	  -0.74	   0.00	0	    5.0	NaN	NaN	    1.4	   1.67	NaN	   1.90	  -0.69	   0.00	0	   17.0	NaN	NaN	   12.3	   0.91	NaN	   0.93	  -0.59	   0.00	0	    5.0	NaN	NaN	   11.8	  -0.00	NaN	   0.00	  -0.71	   0.00	--------	-1	0.00	*
10:704958	   56.2	0	   38.6	NaN	NaN	   33.2	   0.73	NaN	   0.75	  -0.51	   0.00	0	    1.0	NaN	NaN	    1.4	   0.10	NaN	   0.13	  -4.00	   0.00	0	   11.2	NaN	NaN	   12.3	   0.24	NaN	   0.24	  -0.77	   0.00	0	    5.4	NaN	NaN	   11.8	   0.00	NaN	   0.01	  -0.40	   0.00	--------	-1	0.00	*
11:76239	  173.0	0	   68.0	NaN	NaN	   60.9	   0.69	NaN	   0.70	  -0.46	   0.00	0	    7.0	NaN	NaN	    5.6	   0.38	NaN	   0.48	  -0.62	   0.00	0	   70.0	NaN	NaN	   55.9	   1.39	NaN	   1.42	  -0.63	   0.00	0	   28.0	NaN	NaN	   20.9	   0.89	NaN	   1.10	  -0.41	   0.00	--------	-1	0.00	*
11:349977	   63.0	0	   40.0	NaN	NaN	   34.3	   0.71	NaN	   0.73	  -0.31	   0.00	0	    3.0	NaN	NaN	    2.4	   0.29	NaN	   0.36	  -0.19	   0.00	0	    8.0	NaN	NaN	   16.7	   0.00	NaN	   0.00	  -0.37	   0.00	0	   12.0	NaN	NaN	   12.8	   0.14	NaN	   0.20	  -0.95	   0.00	--------	-1	0.00	*
12:110106	   78.0	0	   47.0	NaN	NaN	   32.6	   1.96	NaN	   1.99	  -0.38	   0.00	0	    2.0	NaN	NaN	    1.2	   0.38	NaN	   0.47	  -0.52	   0.00	0	   18.0	NaN	NaN	   10.7	   1.55	NaN	   1.59	  -0.44	   0.00	0	   11.0	NaN	NaN	   12.5	   0.10	NaN	   0.15	  -0.36	   0.00	--------	-1	0.00	*
13:234446	   55.6	0	   31.8	NaN	NaN	   47.6	   0.00	NaN	   0.00	  -0.41	   0.00	0	    0.0	NaN	NaN	    2.2	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   17.3	NaN	NaN	   14.5	   0.65	NaN	   0.67	  -0.43	   0.00	0	    6.4	NaN	NaN	   15.9	  -0.00	NaN	   0.00	  -0.52	   0.00	--------	-1	0.00	*
15:317033	   67.0	0	   32.0	NaN	NaN	   31.2	   0.33	NaN	   0.33	  -0.54	   0.00	0	    3.0	NaN	NaN	    1.3	   0.70	NaN	   0.84	  -0.93	   0.00	0	   20.0	NaN	NaN	   11.6	   1.76	NaN	   1.80	  -0.41	   0.00	0	   12.0	NaN	NaN	   12.1	   0.19	NaN	   0.26	  -0.35	   0.00	--------	-1	0.00	*
15:363526	   71.0	0	   39.0	NaN	NaN	   31.2	   0.99	NaN	   1.01	  -0.53	   0.00	0	    1.0	NaN	NaN	    1.3	   0.10	NaN	   0.14	  -4.00	   0.00	0	   19.0	NaN	NaN	   11.6	   1.51	NaN	   1.54	  -0.36	   0.00	0	   12.0	NaN	NaN	   12.0	   0.19	NaN	   0.27	  -0.49	   0.00	--------	-1	0.00	*
15:512803	   75.0	0	   46.0	NaN	NaN	   31.6	   1.98	NaN	   2.01	  -0.35	   0.00	0	    3.0	NaN	NaN	    1.4	   0.64	NaN	   0.76	  -0.34	   0.00	0	   19.0	NaN	NaN	   12.8	   1.18	NaN	   1.20	  -0.58	   0.00	0	    7.0	NaN	NaN	   15.0	  -0.00	NaN	   0.00	  -0.78	   0.00	--------	-1	0.00	*
15:1065260	   62.0	0	   40.0	NaN	NaN	   31.2	   1.12	NaN	   1.14	  -0.31	   0.00	0	    0.0	NaN	NaN	    1.3	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   12.0	NaN	NaN	   11.6	   0.30	NaN	   0.31	  -0.53	   0.00	0	   10.0	NaN	NaN	   12.0	   0.08	NaN	   0.12	  -0.29	   0.00	--------	-1	0.00	*
16:697750	   64.8	0	   36.1	NaN	NaN	   31.8	   0.69	NaN	   0.70	  -0.56	   0.00	0	    0.0	NaN	NaN	    1.3	   0.10	NaN	   0.13	  -0.74	   0.00	0	   12.4	NaN	NaN	   11.7	   0.39	NaN	   0.40	  -1.22	   0.00	0	   16.3	NaN	NaN	   11.8	   0.85	NaN	   1.05	  -0.56	   0.00	--------	-1	0.00	*
16:698010	   56.2	0	   32.9	NaN	NaN	   31.8	   0.35	NaN	   0.36	  -0.76	   0.00	0	    2.0	NaN	NaN	    1.3	   0.33	NaN	   0.42	  -0.79	   0.00	0	    6.6	NaN	NaN	   11.7	   0.02	NaN	   0.02	  -1.07	   0.00	0	   14.7	NaN	NaN	   11.8	   0.54	NaN	   0.68	  -0.51	   0.00	--------	-1	0.00	*
2:632623	   65.0	0	   37.0	NaN	NaN	   31.3	   0.74	NaN	   0.76	  -0.52	   0.00	0	    0.0	NaN	NaN	    1.2	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   18.0	NaN	NaN	   11.4	   1.33	NaN	   1.36	  -0.51	   0.00	0	   10.0	NaN	NaN	   11.3	   0.11	NaN	   0.16	  -0.32	   0.00	--------	-1	0.00	*
3:82182	   56.0	0	   38.0	NaN	NaN	   27.0	   1.56	NaN	   1.59	  -0.48	   0.00	0	    2.0	NaN	NaN	    1.1	   0.43	NaN	   0.54	  -2.26	   0.00	0	    3.0	NaN	NaN	    8.6	   0.00	NaN	   0.00	  -0.52	   0.00	0	   13.0	NaN	NaN	    9.9	   0.55	NaN	   0.70	  -0.46	   0.00	--------	-1	0.00	*
4:1050306	   78.0	0	   39.0	NaN	NaN	   31.5	   0.94	NaN	   0.96	  -0.43	   0.00	0	    0.0	NaN	NaN	    1.2	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   21.0	NaN	NaN	   12.1	   1.87	NaN	   1.91	  -0.50	   0.00	0	   18.0	NaN	NaN	   11.7	   1.05	NaN	   1.28	  -0.42	   0.00	--------	-1	0.00	*
5:1377	   79.0	0	   42.0	NaN	NaN	   32.5	   1.18	NaN	   1.21	  -0.95	   0.00	0	    3.0	NaN	NaN	    1.3	   0.69	NaN	   0.83	  -0.89	   0.00	0	   14.0	NaN	NaN	   11.8	   0.51	NaN	   0.52	  -0.59	   0.00	0	   20.0	NaN	NaN	   12.6	   1.21	NaN	   1.47	  -0.57	   0.00	--------	-1	0.00	*
5:559137	   60.0	0	   38.0	NaN	NaN	   32.5	   0.71	NaN	   0.72	  -0.75	   0.00	0	    0.0	NaN	NaN	    1.3	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   11.0	NaN	NaN	   11.8	   0.19	NaN	   0.20	  -0.37	   0.00	0	   11.0	NaN	NaN	   12.6	   0.10	NaN	   0.14	  -0.90	   0.00	--------	-1	0.00	*
7:630776	   75.0	0	   48.0	NaN	NaN	   35.5	   1.56	NaN	   1.59	  -0.43	   0.00	0	    0.0	NaN	NaN	    1.6	  -0.00	NaN	  -0.00	  -4.00	   0.00	0	   19.0	NaN	NaN	   13.0	   1.14	NaN	   1.16	  -0.65	   0.00	0	    8.0	NaN	NaN	   13.1	   0.01	NaN	   0.02	  -0.79	   0.00	--------	-1	0.00	*
plasmid-2-micron:1264	 1901.0	0	 1034.0	NaN	NaN	 1158.4	   0.00	NaN	   0.00	  -0.47	   0.74	0	   22.0	NaN	NaN	   30.0	   0.01	NaN	   0.02	  -0.40	   0.74	0	  363.0	NaN	NaN	  352.6	   0.51	NaN	   0.53	  -0.44	   0.74	0	  482.0	NaN	NaN	  504.4	   0.04	NaN	   0.07	  -0.38	   0.74	--------	-1	0.00	*
