Position	IP	CondAna_Present	CondAna_IP	CondAna_Control	CondAna_Fold	CondAna_Expectd	CondAna_Q_-lg10	CondAna_P_-lg10	CondAna_P_poiss	CondAna_IPvsEMP	CondAna_Noise	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	CondNit_Present	CondNit_IP	CondNit_Control	CondNit_Fold	CondNit_Expectd	CondNit_Q_-lg10	CondNit_P_-lg10	CondNit_P_poiss	CondNit_IPvsEMP	CondNit_Noise	KmerGroup	MotifId	KG_score	Strand
1:204197	   23.0	0	    6.0	NaN	NaN	    5.6	  -0.07	NaN	   0.31	  -0.85	   0.00	0	    9.0	NaN	NaN	    4.6	   1.05	NaN	   1.33	  -0.56	   0.00	0	    5.0	NaN	NaN	    7.6	  -0.05	NaN	   0.06	  -0.72	   0.00	0	    3.0	NaN	NaN	    4.4	  -0.19	NaN	   0.09	  -0.39	   0.00	--------	-1	0.00	*
10:217215	   25.0	0	    5.0	NaN	NaN	    3.1	   0.08	NaN	   0.71	  -0.34	   0.00	0	   10.0	NaN	NaN	    4.2	   1.64	NaN	   1.93	  -0.90	   0.00	0	    3.0	NaN	NaN	    3.8	   0.01	NaN	   0.13	  -1.25	   0.00	0	    7.0	NaN	NaN	    3.8	   0.17	NaN	   1.03	  -0.63	   0.00	--------	-1	0.00	*
11:269073	   18.0	0	    3.0	NaN	NaN	    3.1	  -0.09	NaN	   0.22	  -1.02	   0.00	0	    3.0	NaN	NaN	    3.3	   0.08	NaN	   0.19	  -0.36	   0.00	0	    6.0	NaN	NaN	    4.0	   0.46	NaN	   0.68	  -1.29	   0.00	0	    6.0	NaN	NaN	    3.6	   0.08	NaN	   0.79	  -0.90	   0.00	--------	-1	0.00	*
12:568474	   21.0	0	    5.0	NaN	NaN	    3.1	   0.13	NaN	   0.69	  -0.67	   0.00	0	    5.0	NaN	NaN	    4.1	   0.27	NaN	   0.41	  -1.21	   0.00	0	   10.0	NaN	NaN	    3.9	   1.87	NaN	   2.19	  -0.52	   0.00	0	    1.0	NaN	NaN	    2.7	  -0.16	NaN	   0.03	  -4.00	   0.00	--------	-1	0.00	*
13:745813	   20.0	0	    6.0	NaN	NaN	    3.7	   0.06	NaN	   0.77	  -0.59	   0.00	0	    5.0	NaN	NaN	    3.7	   0.35	NaN	   0.50	  -1.02	   0.00	0	    1.0	NaN	NaN	    4.5	  -0.08	NaN	   0.00	  -4.00	   0.00	0	    8.0	NaN	NaN	    2.8	   0.71	NaN	   2.09	  -0.41	   0.00	--------	-1	0.00	*
15:132731	   20.0	0	    6.0	NaN	NaN	    3.1	   0.23	NaN	   1.00	  -0.96	   0.00	0	    5.0	NaN	NaN	    3.4	   0.42	NaN	   0.61	  -0.82	   0.00	0	    5.0	NaN	NaN	    3.9	   0.27	NaN	   0.46	  -0.31	   0.00	0	    4.0	NaN	NaN	    2.8	  -0.10	NaN	   0.52	  -0.78	   0.00	--------	-1	0.00	*
15:213201	   20.0	0	    6.0	NaN	NaN	    3.6	   0.07	NaN	   0.81	  -0.97	   0.00	0	    3.0	NaN	NaN	    4.2	   0.01	NaN	   0.10	  -0.89	   0.00	0	    7.0	NaN	NaN	    3.9	   0.76	NaN	   1.01	  -0.75	   0.00	0	    4.0	NaN	NaN	    2.8	  -0.13	NaN	   0.52	  -0.93	   0.00	--------	-1	0.00	*
15:286575	   18.0	0	    4.0	NaN	NaN	    4.3	  -0.08	NaN	   0.21	  -0.88	   0.00	0	    5.0	NaN	NaN	    3.5	   0.40	NaN	   0.58	  -0.27	   0.00	0	    4.0	NaN	NaN	    3.9	   0.11	NaN	   0.27	  -1.43	   0.00	0	    5.0	NaN	NaN	    2.8	   0.02	NaN	   0.83	  -0.24	   0.00	--------	-1	0.00	*
15:506366	   26.0	0	    7.0	NaN	NaN	    3.3	   0.41	NaN	   1.27	  -0.62	   0.00	0	    8.0	NaN	NaN	    5.2	   0.59	NaN	   0.80	  -0.49	   0.00	0	    4.0	NaN	NaN	    7.6	  -0.07	NaN	   0.02	  -0.52	   0.00	0	    7.0	NaN	NaN	    3.2	   0.29	NaN	   1.37	  -1.16	   0.00	--------	-1	0.00	*
15:774563	   21.0	0	    5.0	NaN	NaN	    4.0	   0.03	NaN	   0.44	  -0.12	   0.00	0	    8.0	NaN	NaN	    4.0	   1.01	NaN	   1.28	  -0.68	   0.00	0	    6.0	NaN	NaN	    4.1	   0.43	NaN	   0.64	  -0.66	   0.00	0	    2.0	NaN	NaN	    4.1	  -0.18	NaN	   0.04	  -1.75	   0.00	--------	-1	0.00	*
16:120469	   19.0	0	    2.0	NaN	NaN	    3.3	  -0.12	NaN	   0.08	  -0.54	   0.00	0	    4.0	NaN	NaN	    3.3	   0.25	NaN	   0.38	  -0.78	   0.00	0	    8.0	NaN	NaN	    3.7	   1.19	NaN	   1.47	  -0.52	   0.00	0	    5.0	NaN	NaN	    2.8	   0.08	NaN	   0.82	  -0.70	   0.00	--------	-1	0.00	*
